© 2000-2016 QIAGEN. All rights reserved.
Symbol	Synonym(s)	Entrez Gene Name	Location	Family	Drugs	Entrez Gene ID for Human	Entrez Gene ID for Mouse	Entrez Gene ID for Rat	
BRCA1	BRCA1, DNA repair associated, BRCAI, BRCC1, breast cancer 1, early onset, BROVCA1, FANCS, PNCA4, PPP1R53, PSCP, RNF53	BRCA1, DNA repair associated	Nucleus	transcription regulator		672	12189	497672	
CTNNB1	armadillo, beta CATENIN, Beta-cat, beta-Ctnn, Bfc, catenin (cadherin associated protein), beta 1, catenin (cadherin associated protein), β 1, CATENIN beta, catenin beta 1, CATENIN β, catenin β 1, CATNB, CTNN beta, CTNN β, CTNNB, Mesc, MRD19, β-cat, β-catenin, β-Ctnn	catenin beta 1	Nucleus	transcription regulator	PRI-724	1499	12387	84353	
E2F1	E2f, E2F transcription factor 1, mKIAA4009, RBAP1, RBBP3, RBP3	E2F transcription factor 1	Nucleus	transcription regulator		1869	13555	399489	
GLI3	ACLS, add, AI854843, AU023367, Bph, GCPS, GLI family zinc finger 3, GLI-Kruppel family member GLI3, GLI3-190, GLI3FL, PAP-A, PAPA1, PAPB, Pdn, PHS, PPDIV, Xt	GLI family zinc finger 3	Nucleus	transcription regulator		2737	14634	140588	
HDAC7	5830434K02Rik, HD7, HD7A, HDAC-D, HDAC7A, histone deacetylase 7, mFLJ00062	histone deacetylase 7	Nucleus	transcription regulator	tributyrin, belinostat, pyroxamide	51564	56233	84582	
HEY1	AI316788, AI414254, BHLHb31, CHF2, hairy/enhancer-of-split related with YRPW motif 1, HERP2, hes-related family bHLH transcription factor with YRPW motif 1, HESR1, hHRT1, HRT-1, OAF1	hes related family bHLH transcription factor with YRPW motif 1	Nucleus	transcription regulator		23462	15213	155437	
HIF1A	AA959795, bHLHe78, HIF-1-α, HIF-1alpha (hydroxylated), HIF-1α (hydroxylated), HIF1, HIF1-ALPHA, Hypoxia inducible factor 1 alpha subunit, Hypoxia inducible factor 1 α subunit, hypoxia inducible factor 1, alpha subunit, hypoxia inducible factor 1, α subunit, MOP1, PASD8	hypoxia inducible factor 1 alpha subunit	Nucleus	transcription regulator	EZN 2968	3091	15251	29560	
MAP2K3	AW212142, LOC100911550, MAP KINASE KINASE 3B, MAPKK3, MEK3, mitogen-activated protein kinase kinase 3, MKK3, Mkk3b, mMKK3b, PRKMK3, SAPKK-2	mitogen-activated protein kinase kinase 3	Cytoplasm	kinase		5606	26397	303200	
MAP2K4	JNKK, JNKK1, MAPK/ERK KINASE-1, MAPKK4, MEK4, mitogen-activated protein kinase kinase 4, MKK4, PRKMK4, SAPKK-1, SEK1, SERK1, SKK1	mitogen-activated protein kinase kinase 4	Cytoplasm	kinase		6416	26398	287398	
MAP3K8	AURA2, c-COT, COT, Cot/Tpl2, D17TPL2, EST, ESTF, MEKK8, mitogen-activated protein kinase kinase kinase 8, PROTO-COT, TPL2, Tpl2K, tumour progression locus 2	mitogen-activated protein kinase kinase kinase 8	Cytoplasm	kinase		1326	26410	116596	
MAPK1	9030612K14Rik, AA407128, AU018647, C78273, ERK, ERK-2, ERK42, ERT1, Mapk p42, Mapk1,2, MAPK2, MITOGEN ACTIVATED protein KINASE 2, mitogen-activated protein kinase 1, p38, p40, p40 HERAK, p41, p41mapk, P42, p42 Erk, P42MAPK, PRKM1, PRKM2	mitogen-activated protein kinase 1	Cytoplasm	kinase	MAP kinase1 inhibitor, binimetinib, ulixertinib, LY-3007113, pexmetinib	5594	26413	116590	
MAPK14	CRK1, CSBP, CSBP1, CSBP2, CSPB1, EXIP, Hog, LOC101929346, MAPK p38, mitogen-activated protein kinase 14, Mxi2, p38, p38 kinase, P38 Map Kinase, p38 MAP kinases alpha and beta, p38 MAP kinases α and β, p38 MAPK, p38 MAPK-α, p38-α, p38a, p38ALPHA, p38Hog, PRKM14, PRKM15, RK, SAPK p38 alpha, SAPK p38 α, SAPK2A	mitogen-activated protein kinase 14	Cytoplasm	kinase	talmapimod, RO-3201195, ralimetinib, p38 MAP kinase inhibitor	1432	26416	81649	
MAPK8IP1	IB1, Islet brain 1, JIP-1, JNK-INTERACTING protein 1, Mapk8ip, mitogen-activated protein kinase 8 interacting protein 1, mjip-2a, PRKM8IP, Skip	mitogen-activated protein kinase 8 interacting protein 1	Cytoplasm	other		9479	19099	116457	
